product_id,title,brand,gender,category,subcategory,style,price,in_stock,is_active,primary_image,is_trending,sponsored,embedding_text
SOULED_279325,Wide-Leg Denim: Misty Grey,The Souled Store,Women,Bottomwear,Jeans,Partywear,1949,True,True,https://prod-img.thesouledstore.com/public/theSoul/uploads/catalog/product/1741691367_3663355.jpg,False,False,"Wide-Leg Denim: Misty Grey. Partywear Jeans, Grey, Regular fit, Solid pattern, Cotton, The Souled Store"
BEWAKOOF_275964,3-Layer N 95 Reusable Printed Mask - Pack of 2 ( Aya Sher ),Bewakoof,Men,Other,Other,Streetwear,249,False,True,https://images.bewakoof.com/original/3-layer-n-95-reusable-printed-mask-pack-of-2-aya-sher-275964-1656100383-1.jpg,False,False,"3-Layer N 95 Reusable Printed Mask - Pack of 2 ( Aya Sher ). Streetwear Other, Black, Regular fit, Graphic pattern, Bewakoof"
BEWAKOOF_368691,Men's Deep Teal Typography Plus Size Oversized Layered Hoodies,Bewakoof,Men,Topwear,Hoodie,Oversized,699,False,True,https://images.bewakoof.com/original/deep-teal-plus-size-color-block-hoodie-sweatshirt-368691-1656162584-1.jpg,False,False,"Men's Deep Teal Typography Plus Size Oversized Layered Hoodies. Oversized Hoodie, Blue, Oversized fit, Typography pattern, Fleece, Full sleeve, Hooded neck, Bewakoof"
SOULED_265690,Ribbed Tank Top: Noir,The Souled Store,Women,Topwear,Topwear,Athleisure,349,True,True,https://prod-img.thesouledstore.com/public/theSoul/uploads/catalog/product/1717055529_6843733.jpg,False,False,"Ribbed Tank Top: Noir. Athleisure Topwear, Black, Slim fit, Solid pattern, Cotton, Round neck, The Souled Store"
SOULED_323199,Pull-On Denim: Greyscale,The Souled Store,Women,Bottomwear,Jeans,Partywear,1799,True,True,https://prod-img.thesouledstore.com/public/theSoul/uploads/catalog/product/1771566985_6969075.jpg,False,False,"Pull-On Denim: Greyscale. Partywear Jeans, Grey, Regular fit, Solid pattern, Cotton, The Souled Store"
BEWAKOOF_565097,Women's Purple Oh Darling Typography Oversized Dress,Bewakoof,Women,Dresses,Dress,Oversized,499,False,True,https://images.bewakoof.com/original/women-s-purple-oh-darling-typography-oversized-dress-565097-1675338897-1.jpg,False,False,"Women's Purple Oh Darling Typography Oversized Dress. Oversized Dress, Oversized fit, Typography pattern, Cotton, Half sleeve, Round neck, Bewakoof"
BEWAKOOF_628281,Women's Green Baggy Oversized Cargo Pants,Bewakoof,Women,Bottomwear,Cargos,Streetwear,799,True,True,https://images.bewakoof.com/original/women-s-green-oversized-cargo-pants-628281-1718173449-1.jpg,True,True,"Women's Green Baggy Oversized Cargo Pants. Streetwear Cargos, Oversized fit, Solid pattern, Cotton, Bewakoof"
BEWAKOOF_645111,Women's Black & White All Over Printed Plus Size Wide Leg Pyjamas,Bewakoof,Women,Innerwear,Innerwear,Athleisure,509,False,True,https://images.bewakoof.com/original/women-s-black-white-all-over-printed-plus-size-wide-leg-pyjamas-645111-1750745674-1.jpg,True,False,"Women's Black & White All Over Printed Plus Size Wide Leg Pyjamas. Athleisure Innerwear, Black, Regular fit, Graphic pattern, Bewakoof"
URBANIC_1447782,Cable Knit Cardigan,Urbanic,Women,Other,Other,Oversized,1590,True,True,https://img101.urbanic.com/goods-pic/b96cb862c511421687f9851fe7eb3dc8_w1440_q90,False,False,"Cable Knit Cardigan. Oversized Other, Multi, Relaxed fit, Full sleeve, Urbanic"
BEWAKOOF_642501,Men's Black Graphic Printed Oversized Windcheater Jacket,Bewakoof,Men,Outerwear,Jacket,Streetwear,1699,True,True,https://images.bewakoof.com/original/men-s-black-graphic-printed-oversized-windcheater-jacket-642501-1732786649-1.jpg,True,False,"Men's Black Graphic Printed Oversized Windcheater Jacket. Streetwear Jacket, Black, Oversized fit, Graphic pattern, Nylon, Full sleeve, Turtle neck, Bewakoof"
BEWAKOOF_581380,Men's Blue Oversized Vest,Bewakoof,Men,Topwear,Topwear,Oversized,299,False,True,https://images.bewakoof.com/original/men-s-blue-oversized-vest-581380-1722597207-1.jpg,False,False,"Men's Blue Oversized Vest. Oversized Topwear, Oversized fit, Solid pattern, Cotton, Sleeveless sleeve, Round neck, Bewakoof"
BEWAKOOF_1501028,Women's Peach Whip Waistcoat Top,Bewakoof,Women,Outerwear,Blazer,Formal,1199,True,True,https://images.bewakoof.com/original/1501028_2026-04-29t13-51-42_1.jpg,True,False,"Women's Peach Whip Waistcoat Top. Formal Blazer, Orange, Regular fit, Solid pattern, Cotton, Sleeveless sleeve, Round neck, Bewakoof"
SOULED_281845,TSS Originals: Euphoria,The Souled Store,Women,Topwear,Hoodie,Streetwear,1499,True,True,https://prod-img.thesouledstore.com/public/theSoul/uploads/catalog/product/1736256554_1448942.jpg,False,False,"TSS Originals: Euphoria. Streetwear Hoodie, Beige, Oversized fit, Graphic pattern, Cotton-Blend, Full sleeve, Hooded neck, The Souled Store"
URBANIC_116875,Printed A-Line Dress,Urbanic,Women,Dresses,Dress,Streetwear,1314,True,True,https://img101.urbanic.com/goods-pic/2b9ba745943e47b5b4f203c0b29709b2UR_w1440_q90,False,True,"Printed A-Line Dress. Streetwear Dress, Orange, Regular fit, Graphic pattern, Sleeveless sleeve, Urbanic"
SNITCH_8756618395810,Beige Slim Fit Trousers,SNITCH,Men,Bottomwear,Trousers,Formal,1349,True,True,https://cdn.shopify.com/s/files/1/0420/7073/7058/files/4msr5387-01_1.jpg?v=1756920117,False,False,"Beige Slim Fit Trousers. Formal Trousers, Beige, Slim fit, Solid pattern, Polyester, SNITCH"
